Name	"R1node.degree"	"R1node.betw"	"R1node.stress"	"R1node.evcent"	"R1Clustering.Coefficient"	R1No. module	R1Zi	R1Pi
167	1	0	0	0.00341109831177124	0	9	-1.44853487189959	0
254	3	546	1113	3.0352617624452e-05	0.333333333333333	12	0	0.444444444444444
377	7	2630.40669913536	6958	0.0241976760047517	0.0476190476190476	1	-0.341279063282745	0.73469387755102
388	3	487.851047380141	1569	0.0102373432526069	0	4	0	0.444444444444444
412	4	184.142857142857	694	0.00454241786456647	0.333333333333333	3	0.388181570282322	0
86	4	553.335497835498	1598	0.0141344053053942	0.166666666666667	4	1.6583123951777	0.375
145	1	0	0	1.46317210783406e-05	0	1	-1.12884613239677	0
244	1	0	0	2.98108653717514e-139	0	22	0	0
375	10	2352.34627390995	10777	0.359527630276153	0.355555555555556	0	1.71325555216051	0.18
226	2	0	0	0.0169234438180712	1	7	-0.485071250072666	0
267	3	1215.18991008991	2629	0.000204638485038803	0	2	0	0.444444444444444
384	1	0	0	2.98108653717514e-139	0	21	0	0
430	6	231.879184132861	957	0.191752777386944	0.4	0	0.566365471788599	0
102	9	1333.26093055124	4961	0.287007041601539	0.305555555555556	0	1.33095885870321	0.197530864197531
328	1	0	0	2.88312998823727e-114	0	14	0	0
331	5	41.8688330090962	274	0.0364793834698767	0.5	9	0.607450107570797	0
373	6	752.472222222222	2661	0.0281995431834137	0.266666666666667	7	1.69774937525433	0.277777777777778
428	2	1	1	2.88312998823727e-114	0	15	0	0
435	1	0	0	0.000296791962216427	0	1	-1.12884613239677	0
20	2	827.053002553003	1468	0.00834253432661179	0	2	0	0
65	2	1051.61636696637	2233	0.006808288240018	0	2	-1.08012344973464	0.5
105	3	833.646053946054	1519	0.000208792039290177	0	2	1.08012344973464	0
150	6	405.67905982906	1402	0.0401887168543754	0.333333333333333	7	1.69774937525433	0.277777777777778
201	8	848.308967710584	2786	0.00569985683261028	0.25	1	1.23385507494531	0.21875
237	9	499.572333350471	2366	0.287229263571025	0.305555555555556	0	1.33095885870321	0.197530864197531
240	3	1	2	0.00566987940052078	0.666666666666667	7	0.242535625036333	0
241	3	956.402702852703	1700	0.00131744767678177	0	2	1.08012344973464	0
257	6	917.166774161512	4641	6.89123299808802e-05	0.133333333333333	5	2.54493299279644	0
280	5	2448.28617143091	9114	0.00128854625587614	0	3	-0.599916972254498	0.64
288	2	213.666559171822	916	8.52145093660047e-05	0	5	-0.101797319711857	0
324	2	184	460	0.0028495211791124	0	0	-0.962821302040618	0
325	3	367	1315	0.00053777057487108	0	3	-0.105867700986088	0
364	1	0	0	0.000421493990236718	0	0	-1.34511799549792	0
402	4	549	1134	3.2396044507826e-05	0	2	2.16024689946929	0
415	3	184	448	0.00200646983737694	0.333333333333333	1	-0.341279063282745	0
3	3	184	639	0.00512194563946374	0.333333333333333	7	0.242535625036333	0
12	10	1095.24500494178	3172	0.0812616623329637	0.0222222222222222	6	3.17377498920752	0.46
49	8	481.809254173759	1307	0.0629543975498153	0.357142857142857	9	2.14943884217359	0
77	11	1206.68678549973	4147	0.00798719443346644	0.345454545454545	1	2.80898921317337	0
85	10	1592.05062798581	6330	0.214889217083227	0.133333333333333	0	0.184068778331295	0.5
88	1	0	0	9.24802953307385e-06	0	2	-1.08012344973464	0
94	3	0	0	0.00235250132279911	1	1	-0.341279063282745	0
108	1	0	0	2.98108653717514e-139	0	20	0	0
111	2	724	1480	0.000194523132970763	0	1	-1.12884613239677	0.5
164	1	0	0	0.000671903000911646	0	3	-1.09396624352291	0
170	2	140.986479132547	474	0.0101593347797778	0	10	0	0
178	2	4.86666666666667	18	0.00223278291096883	0	3	-0.599916972254498	0
192	3	246.907928019693	750	0.00196112000290009	0	1	-1.12884613239677	0.444444444444444
193	9	2892.51789053883	9567	0.00755851683315599	0.222222222222222	1	1.23385507494531	0.37037037037037
204	2	184	362	8.37712268522693e-05	0	8	1	0
208	4	0	0	0.00331734651039839	1	1	0.0525044712742685	0
247	3	1110.42747807748	2258	0.00108465664895114	0	2	1.08012344973464	0
250	1	0	0	1.93947509651725e-06	0	5	-0.763479897838931	0
253	3	69.4797619047619	345	0.00926572106242995	0.333333333333333	3	-0.599916972254498	0.444444444444444
256	3	138.602600907864	474	0.00111523182318474	0.333333333333333	3	-0.105867700986088	0
259	3	184	373	5.38963098759929e-06	0.333333333333333	12	1.41421356237309	0
261	9	3375.85461614409	12737	0.00762284512686645	0.138888888888889	3	2.85842792662437	0
266	3	242.084992784993	539	0.00523132569200393	0	4	0	0.444444444444444
273	1	0	0	0.0283635874936367	0	0	-1.34511799549792	0
275	4	316.071428571429	1027	0.00141913697320401	0.166666666666667	3	0.388181570282322	0
278	3	343.540476190476	728	0.00106607283255941	0	4	0	0.444444444444444
294	3	98.73555684082	370	2.51428231685889e-05	0.333333333333333	5	0.559885258415216	0
304	4	711.833225838489	2805	0.000550952102919629	0	5	0.559885258415216	0.375
305	1	0	0	8.14954463374809e-05	0	5	-0.763479897838931	0
307	3	724	1460	0.000169248274694163	0.333333333333333	2	1.08012344973464	0
315	4	193.351190476191	629	0.113797654328216	0.166666666666667	0	-0.198227915126009	0
333	6	1183.17854854585	3305	0.00566917462237895	0.466666666666667	1	0.446288005831283	0.277777777777778
336	3	0	0	0.0301176028288044	1	9	-0.420542382164398	0
341	7	419.550018196084	2053	0.175017465588877	0.380952380952381	0	0.566365471788599	0.244897959183674
342	8	2113.52352957202	10159	0.104177063057382	0.214285714285714	9	1.12144635243839	0.40625
347	4	7.07142857142857	24	0.120806174842728	0.833333333333333	0	-0.198227915126009	0
365	1	0	0	2.98108653717514e-139	0	22	0	0
370	6	197.330772005772	751	0.00350018442321094	0.4	1	0.840071540388296	0
406	4	367	1799	1.31118722692553e-05	0.166666666666667	5	1.22156783654229	0
408	1	0	0	7.97220632876193e-07	0	12	-1.41421356237309	0
424	3	8.96904761904762	25	0.0926257445745514	0.666666666666667	0	-0.580524608583314	0
